Idx	Chinese	Pinyin	English	Status
163	卒中	zú zhōng	stroke	Learnt
164	促进	cùjìn	Promote	
165	猝死	cùsǐ	sudden death	Incorrect
166	催乳素	cuīrǔsù	prolactin	Learnt
167	挫裂伤	cuòlièshāng	contusion	Learnt
168	措施	cuòshī	measure	Incorrect
169	搭配	dāpèi	match	
170	达到	dádào	achieve	Learnt
171	打嗝	dǎgé	hiccup	
172	打喷嚏	dǎpēntì	sneeze	Incorrect
173	大便	dàbiàn	Feces	Incorrect
174	大肠杆菌	dàchánggǎnjūn	Escherichia coli	
175	代替	dàitì	replace	
176	丹毒	dāndú	erysipelas	
177	单纯	dānchún	simple	
178	单核细胞	dānhéxìbāo	monocytes	
179	单位	dānwèi	unit	Learnt
180	耽误	dānwu	hold up	Learnt
181	胆道蛔虫	dǎndào huíchóng	Biliary Ascaris	Learnt
182	胆固醇	dǎngùchún	cholesterol	
183	胆红素	dǎnhóngsù	Bilirubin	Learnt
184	胆囊	dǎnnáng	gallbladder	
185	胆石病	dǎnshíbìng	gallstone disease	Learnt
186	胆汁	dǎnzhī	bile	Incorrect
187	胆汁酸	dǎnzhīsuān	bile acid	Incorrect
188	胆总管	dǎnzǒngguǎn	common bile duct	
189	蛋白质	dànbáizhì	protein	Learnt
190	氮质血症	dànzhì xuèzhèng	Azotemia	
191	导尿术	dǎoniào shù	Catheterization	
192	导泻	dǎoxiè	catharsis	Learnt
193	导致	dǎozhì	lead to	
194	登记	dēngjì	to register	
195	等候	děnghòu	waiting	Incorrect
196	低钠血症	dīnàxuèzhèng	Hyponatremia	Learnt
197	低氧血症	dīyǎng xuèzhèng	Hypoxemia	Learnt
198	滴	dī	drop	
199	骶骨	dǐgǔ	sacrum	
200	蒂	dì	pedicle	Incorrect
201	癫痫	diānxián	epilepsy	Learnt
202	典型	diǎnxíng	typical	Learnt
203	碘剂	diǎnjì	iodine	Learnt
204	电除颤	diàn chúchàn	defibrillation	Learnt
205	电复律	diànfù lǜ	Cardioversion	Incorrect
206	点击	diǎnjī	click	Learnt
207	电解质	diànjiězhì	electrolyte	Learnt
208	淀粉酶	diànfěnméi	Amylase	Learnt
209	耵聍	dīngníng	Cerumen	Incorrect
210	顶叶	dǐngyè	parietal lobe	Incorrect
211	定期	dìngqī	regular	
212	动脉	dòngmài	artery	
213	动物模型	dòngwùmóxíng	animal model	Learnt
214	动眼神经	dòngyǎnshénjīng	oculomotor nerve	
215	动作电位	dòngzuòdiànwèi	Action potential	Learnt
216	冻僵	dòngjiāng	frozen	Learnt
217	冻伤	dòngshāng	frostbite	Incorrect
218	窦房结	dòufángjié	sinus node	Incorrect
219	堵塞	dǔsè	block	
220	端坐呼吸	duānzuò hūxī	orthopnea	
221	断端	duànduān	stump	Incorrect
222	堆积	duījī	accumulation	Learnt
223	对症治疗	duìzhèng zhìliáo	Symptomatic treatment	Learnt
224	多胞胎	duōbāotāi	multiple births	Incorrect
225	多发性	duōfāxìng	multiple	Learnt
226	鹅口疮	ékǒuchuāng	thrush	Learnt
227	额叶	éyè	frontal lobe	Incorrect
228	恶心	èxīn	nausea	Learnt
229	恶化	èhuà	deterioration	Incorrect
230	恶露	èlù	lochia	
231	儿茶酚胺	rcháfēnàn	Catecholamines	Incorrect
232	耳聋	ěrlóng	deaf	Learnt
233	耳鸣	ěrmíng	tinnitus	Incorrect
234	耳蜗	ěrwō	cochlea	Incorrect
235	发病机制	fābìng jīzhì	pathogenesis	Learnt
236	发抖	fādǒu	trembling	Learnt
237	发绀	fāgàn	Cyanosis	Incorrect
238	发热	fārè	fever	Learnt
239	发炎	fāyán	inflamed	Learnt
240	发育	fāyù	development	Incorrect
241	发作	fāzuò	attack	Learnt
242	发力	fālì	work hard	
243	烦躁不安	fánzàobùān	anxious	
244	繁殖	fánzhí	reproduce	
245	反常	fǎncháng	abnormal	
246	反而	fǎnér	instead	Learnt
247	反复	fǎnfù	repeatedly	Learnt
248	反射	fǎnshè	reflection	
249	反酸	fǎnsuān	acid reflux	Learnt
250	反跳痛	fǎntiàotòng	rebound pain	
251	反应	fǎnyìng	reaction	Incorrect
252	范围	fànwéi	range	Learnt
253	方案	fāngàn	plan	Learnt
254	门诊	ménzhěn	clinic	Incorrect
255	防御	fángyù	defense	Incorrect
256	防止	fángzhǐ	prevent	Incorrect
257	防治	fángzhì	prevention	Incorrect
258	房间隔	fángjiāngé	interatrial septum	Learnt
259	房室结	fángshì jié	atrioventricular node	Incorrect
260	放大	fàngdà	enlarge	Learnt
261	放射	fàngshè	radiation	
262	腓骨	féigǔ	fibula	
263	肺不张	fèibùzhāng	atelectasis	Learnt
264	肺大泡	fèidàpào	Bullae	Incorrect
265	肺动脉瓣	fèidòngmàibàn	pulmonary valve	Incorrect
266	肺活量	fèihuóliàng	vital capacity	Learnt
267	肺门	fèimén	hilum	
268	肺气肿	fèiqìzhǒng	Emphysema	
269	肺纹理	fèi wénlǐ	lung markings	Learnt
270	肺性脑病	fèixìng nǎobìng	pulmonary encephalopathy	Incorrect
271	费用	fèiyòng	cost	Learnt
272	分布	fēnbù	distributed	
273	分化	fēnhuà	differentiation	Incorrect
274	分裂	fēnliè	Split	Learnt
275	分泌	fēnmì	secretion	Learnt
276	分娩	fēnmiǎn	childbirth	
277	分析	fēnxī	analyze	Learnt
278	分型	fēnxíng	classification	
279	粉末	fěnmò	powder	Incorrect
280	风湿病	fēngshībìng	rheumatism	Learnt
281	风湿热	fēngshīrè	rheumatic fever	Incorrect
282	风险	fēngxiǎn	risk	Learnt
283	缝合术	fènghé shù	Suture	
284	敷	fū	apply	Learnt
285	浮肿	fúzhǒng	edema	Learnt
286	幅度	fúdù	amplitude	Learnt
287	辐射	fúshè	radiation	
288	辅助	fǔzhù	auxiliary	Incorrect
289	附件	fùjiàn	appendix	Incorrect
290	复查	fùchá	review	Learnt
291	复发	fùfā	relapse	Learnt
292	复位	fùwèi	reset	
293	复诊	fùzhěn	Follow-up visit	Incorrect
294	副神经	fùshénjīng	accessory nerve	Learnt
295	副作用	fùzuòyòng	side effect	Learnt
296	腹部	fùbù	abdomen	Learnt
297	腹肌紧张	fùjī jǐnzhāng	tight abdominal muscles	Learnt
298	腹腔	fùqiāng	abdominal cavity	
299	腹泻	fùxiè	diarrhea	Learnt
300	腹痛	fùtòng	stomach ache	Learnt
301	改善	gǎishàn	improve	Learnt
302	钙	gài	calcium	Learnt
303	甘油三酯	gānyóusānzhǐ	Triglycerides	
304	肝	gān	liver	Incorrect
305	肝病面容	gānbìng miànróng	liver disease face	
306	肝门静脉	gān ménjìngmài	hepatic portal vein	Incorrect
307	肝素	gānsù	heparin	
308	肝性脑病	gānxìng nǎobìng	hepatic encephalopathy	Incorrect
309	肝硬化	gānyìnghuà	liver cirrhosis	Learnt
310	肝掌	gānzhǎng	liver palm	
311	赶紧	gǎnjǐn	quickly	
312	感觉器官	gǎnjuéqìguān	sensory organs	Incorrect
313	感染	gǎnrǎn	Infect	
314	感染源	gǎnrǎn yuán	Source of infection	Learnt
315	干咳	gānké	dry cough	
316	干扰素	gānrǎosù	interferon	Incorrect
317	感眼	gǎnyǎn	eyesight	
318	干预	gānyù	intervene	
319	干燥	gānzào	dry	Learnt
320	干活儿	gànhuór	work	Learnt
321	肛管	gāngguǎn	anal canal	Learnt
322	肛裂	gāngliè	anal fissure	Incorrect
323	肛瘘	gānglòu	anal fistula	Incorrect
324	肛门	gāngmén	anus	Learnt
325	高钙血症	gāogàixuèzhèng	Hypercalcemia	
326	高钾血症	gāojiǎxuèzhèng	hyperkalemia	Learnt
327	高原病	gāoyuánbìng	altitude sickness	Learnt
328	睾酮	gāotóng	Testosterone	Incorrect
329	睾丸	gāowán	Testis	Learnt
330	疙瘩	gēda	Pimple	Incorrect
331	隔离	gélí	isolation	Learnt
332	膈	gé	diaphragm	Incorrect
333	个别	gèbié	individual	Incorrect
334	个人史	gèrén shǐ	personal history	Incorrect
335	个体	gètǐ	individual	
336	根除	gēnchú	eradicate	
337	根治	gēnzhì	cure	Learnt
338	跟腱断裂	gēnjiàn duànliè	Achilles tendon rupture	Incorrect
339	梗阻	gěngzǔ	obstruction	Incorrect
340	功能	gōngnéng	Function	Incorrect
341	肱二头肌	gōng èrtóujī	Biceps	Learnt
342	巩固	gǒnggù	consolidate	Learnt
343	肱三头肌	gōng sāntóu jī	Triceps	Learnt
344	肱骨	gōnggǔ	Humerus	Learnt
345	宫颈举痛	gōngjǐng jǔtòng	Cervical pain	Incorrect
346	宫颈糜烂	gōngjǐng mílàn	cervical erosion	Incorrect
347	宫腔镜	gōngqiāngjìng	Hysteroscopy	Learnt
348	宫缩	gōngsuō	contractions	Incorrect
349	巩膜	gǒngmó	sclera	Learnt
350	佝偻病	gōulóubìng	Rickets	Learnt
351	沟通	gōutōng	communicate	Learnt
352	构成	gòuchéng	constitute	Incorrect
353	股骨	gǔgǔ	femur	
354	骨擦音	gǔ cāyīn	fricative	
355	股四头肌	gǔ sìtóu jī	quadriceps	Learnt
356	骨关节炎	gǔguānjiéyán	Osteoarthritis	Incorrect
357	骨痂	gǔjiā	callus	Learnt
358	骨龄	gǔlíng	bone age	Incorrect
359	骨膜	gǔmó	periosteum	
360	骨盆	gǔpén	pelvis	Learnt
361	骨髓	gǔsuǐ	marrow	Incorrect
362	骨髓象	gǔsuǐ xiàng	bone marrow	Learnt
363	骨折	gǔzhé	fracture	Learnt
364	鼓膜	gǔmó	eardrum	Learnt
365	鼓室	gǔshì	tympanum	Learnt
366	固定	gùdìng	fixed	
367	顾虑	gùlǜ	concern	Incorrect
368	挂号	guàhào	registered	Learnt
369	拐杖	guǎizhàng	crutch	Learnt
370	关节	guānjié	joint	Learnt
371	关节镜	guānjiéjìng	Arthroscopy	Learnt
372	关节面	guānjié miàn	articular surface	Learnt
373	关节囊	guānjié náng	Joint capsule	Learnt
374	关节腔	guānjié qiāng	Joint cavity	Learnt
375	观察	guānchá	observe	Learnt
376	冠心病	guānxīnbìng	coronary heart disease	Learnt
377	管型	guǎnxíng	cast	Incorrect
378	光滑	guānghuá	smooth	
379	广泛	guǎngfàn	widely	Learnt
380	规律	guīlǜ	law	Learnt
381	过度	guòdù	over	Incorrect
382	过度乳	guòdù rǔ	excessive milk	Learnt
383	过敏	guòmǐn	allergy	
384	过期产儿	guòqī chǎnér	Overdue baby	Learnt
385	过期妊娠	guòqī rènshēn	overdue pregnancy	
386	海鲜	hǎixiān	seafood	
387	含服	hánfù	Take it	
388	含量	hánliàng	content	
389	寒战	hánzhàn	chills	
390	罕见	hǎnjiàn	rare	Incorrect
391	好转	hǎozhuǎn	get better	Incorrect
392	合理	hélǐ	Reasonable	Incorrect
393	荷尔蒙	héěrméng	hormone	Incorrect
394	核磁共振	hécígòngzhèn	nuclear magnetic resonance	Learnt
395	黑粪	hēifèn	black dung	
396	黑色素瘤	hēisèsùliú	melanoma	
397	恒牙	héngyá	permanent teeth	Learnt
398	虹膜	hóngmó	iris	
399	喉部	hóubù	throat	
400	后代	hòudài	offspring	Incorrect
401	后果	hòuguǒ	as a result of	Incorrect
402	后囟	hòu xìn	Posterior fontanel	Learnt
403	后遗症	hòuyízhèng	Sequelae	Learnt
404	候诊区	hòuzhěn qū	Waiting Area	Learnt
405	呼吸	hūxī	breathe	
406	呼吸链	hūxī liàn	respiratory chain	
407	忽略	hūlüè	neglect	Learnt
408	忽视	hūshì	ignore	Incorrect
409	护理	hùlǐ	care	Learnt
410	滑车神经	huáchēshénjīng	trochlear nerve	Learnt
411	化痰止咳	huàtánzhǐké	Reducing phlegm and relieving cough	
412	化验	huàyàn	assay	
413	怀孕	huáiyùn	Pregnant	Learnt
414	踝关节	huáiguānjié	ankle joint	Learnt
415	踝阵挛	huái zhènluán	ankle clonus	Learnt
416	环形红斑	huánxíng hóngbān	erythema annulare	
417	缓解	huǎnjiě	ease	Learnt
418	患者	huànzhě	patient	Learnt
419	黄斑	huángbān	macula	Learnt
420	黄疸	huángdǎn	jaundice	Incorrect
421	黄体	huángtǐ	corpus luteum	
422	灰质	huīzhì	gray matter	Learnt
423	恢复	huīfù	recover	
424	回肠	huícháng	ileum	
425	回归热	huíguīrè	relapsing fever	
426	回盲部	huímángbù	ileocecal	
427	回声	huíshēng	echo	
428	会阴	huìyīn	perineum	
429	会诊	huìzhěn	consultation	
430	昏迷	hūnmí	coma	Incorrect
431	荤	hūn	Meat	Learnt
432	婚育史	hūnyù shǐ	Marriage history	Incorrect
433	浑身	húnshēn	full body	Learnt
434	活检	huójiǎn	biopsy	
435	霍乱	huòluàn	cholera	Learnt
436	饥饿	jīè	hunger	
437	肌电图	jīdiàntú	EMG	
438	肌强直	jī qiángzhí	Muscle rigidity	
439	肌肉	jīròu	muscle	Incorrect
440	肌张力	jī zhānglì	Muscle tension	
441	积水	jīshuǐ	stagnant water	Learnt
442	基因	jīyīn	Gene	Incorrect
443	畸形	jīxíng	deformity	Learnt
444	稽留热	jīliúrè	continuous fever	
445	激动药	jīdòng yào	Agonists	Learnt
446	激素	jīsù	hormone	
447	及早	jízǎo	early	
448	急促	jícù	rapid	Incorrect
449	急腹症	jífùzhèng	acute abdomen	Learnt
450	急剧	jíjù	sharp	Incorrect
451	急诊	jízhěn	Emergency	Incorrect
452	急症手术	jízhèng shǒushù	emergency surgery	Learnt
453	疾病	jíbìng	disease	Incorrect
454	集中	jízhōng	concentrated	
455	籍贯	jíguàn	native place	
456	脊髓	jǐsuǐ	spinal cord	
457	脊柱侧凸	jǐzhù cètū	Scoliosis	Learnt
458	记录	jìlù	Record	Incorrect
459	记忆力	jìyìlì	memory	Learnt
460	既往史	jìwǎng shǐ	Past history	Learnt
461	继发性	jìfāxìng	Secondary	
462	寄生虫	jìshēngchóng	parasite	Incorrect
463	加剧	jiājù	exacerbated	
464	家属	jiāshǔ	family members	
465	家庭	jiātíng	family	
466	家族史	jiāzúshǐ	family history	Incorrect
467	甲沟炎	jiǎgōuyán	Paronychia	Learnt
468	甲亢危象	jiǎkàng wēixiàng	hyperthyroid crisis	Learnt
469	甲胎蛋白	jiǎtāidànbái	alpha-fetoprotein	Learnt
470	甲状旁腺	jiǎzhuàngpángxiàn	parathyroid gland	Incorrect
471	尖锐湿疣	jiānruìshīyóu	Genital warts	Incorrect
472	间脑	jiānnǎo	diencephalon	Incorrect
473	肩膀	jiānbǎng	Shoulder	Learnt
474	肩胛骨	jiānjiǎgǔ	shoulder blade	
475	监测	jiāncè	monitor	Learnt
476	监护	jiānhù	guardianship	Learnt
477	检查	jiǎnchá	examine	
478	检验	jiǎnyàn	test	
479	间隔	jiàngé	interval	
480	间歇	jiànxiē	Intermittent	Learnt
481	健全	jiànquán	sound	Learnt
482	腱鞘	jiànqiào	tendon sheath	Incorrect
483	鉴别	jiànbié	identify	Learnt
484	鉴定	jiàndìng	identification	
485	僵硬	jiāngyìng	stiff	
486	交叉配血	jiāochā pèixuè	cross match	Learnt
487	胶原	jiāoyuán	collagen	Learnt
488	焦虑	jiāolǜ	anxiety	Learnt
489	角膜	jiǎomó	cornea	Incorrect
490	绞痛	jiǎotòng	colic	
491	绞窄性	jiǎozhǎixìng	strangulation	Incorrect
492	矫正	jiǎozhèng	to correct	Incorrect
493	脚趾	jiǎozhǐ	toe	Incorrect
494	阶段	jiēduàn	stage	Learnt
495	疖	jiē	furuncle	
496	接触	jiēchù	touch	Learnt
497	接种	jiēzhòng	inoculation	Incorrect
498	节奏	jiézòu	Rhythm	Learnt
499	拮抗药	jiékàng yào	Antagonist	Learnt
500	结肠	jiécháng	colon	Incorrect
501	结缔组织	jiédìzǔzhī	connective tissue	
502	结合	jiéhé	combine	Learnt
503	结核病	jiéhébìng	Tuberculosis	
504	结节	jiéjié	nodules	Incorrect
505	结膜	jiémó	conjunctiva	Incorrect
506	结石	jiéshí	stone	
507	结扎	jiézā	ligation	
508	截瘫	jiétān	paraplegia	
509	解痉	jiě jìng	antispasmodic	
510	解剖	jiěpōu	anatomy	
511	介入	jièrù	intervention	
512	戒	jiè	quit	Learnt
513	筋膜	jīnmó	Fascia	Learnt
514	紧急	jǐnjí	urgent	Learnt
515	谨慎	jǐnshèn	cautious	
516	尽快	jìnkuài	ASAP	Learnt
517	尽量	jìnliàng	try to	
518	进展期	jìnzhǎn qī	advanced stage	Learnt
519	近亲	jìnqīn	next of kin	Incorrect
520	近视	jìnshì	Shortsighted	Incorrect
521	浸润	jìnrùn	infiltration	
522	禁忌症	jìnjìzhèng	Contraindications	Learnt
523	禁食	jìnshí	fasting	
524	经产妇	jīngchǎnfù	multipartum	
525	惊厥	jīngjué	convulsion	Learnt
526	晶状体	jīngzhuàngtǐ	lens	
527	精神	jīngshén	Spirit	
528	精准医学	jīngzhǔn yīxué	precision medicine	Incorrect
529	精子	jīngzǐ	sperm	Incorrect
530	精子获能	jīngzǐ huò néng	sperm capacitation	Incorrect
531	颈部	jǐngbù	neck	Learnt
532	颈椎	jǐngzhuī	cervical spine	Learnt
533	胫骨	jìnggǔ	tibia	
534	痉挛	jìngluán	spasms	Learnt
535	静脉	jìngmài	vein	
536	静脉曲张	jìngmàiqūzhāng	Varicose veins	Incorrect
537	静息电位	jìngxī diànwèi	resting potential	
538	纠正	jiūzhèng	correct	Incorrect
539	酒精	jiǔjīng	Alcohol	Learnt
540	救护车	jiùhùchē	ambulance	Learnt
541	就诊	jiùzhěn	see a doctor	Learnt
542	局部麻醉	júbù mázuì	Local anesthesia	Learnt
543	咀嚼	jǔjué	chew	Incorrect
544	巨大	jùdà	huge	Learnt
545	巨结肠	jù jiécháng	megacolon	Learnt
546	巨人症	jùrénzhèng	gigantism	Learnt
547	剧烈	jùliè	severe	Incorrect
548	绝经	juéjīng	menopause	Incorrect
549	绝育术	juéyù shù	Sterilization	
550	菌血症	jūnxuèzhèng	Bacteremia	
551	咯血	gēxuè	Hemoptysis	Incorrect
552	开瓣音	kāibànyīn	opening sound	Learnt
553	康复	kāngfù	recover	
554	抗核抗体	kànghé kàngtǐ	antinuclear antibody	Learnt
555	抗凝	kàngníng	anticoagulation	Learnt
556	抗生素	kàngshēngsù	antibiotic	Learnt
557	抗体	kàngtǐ	Antibody	Incorrect
558	抗抑郁	kàngyìyù	antidepressant	Incorrect
559	抗原	kàngyuán	antigen	
560	颗	kē	grain	
561	咳痰	kétán	expectoration	Incorrect
562	可见	kějiàn	visible	Incorrect
563	克罗恩病	kèluóēn bìng	Crohn's disease	Learnt
564	控场	kòngchǎng	field control	Learnt
565	空洞	kōngdòng	hollow	Incorrect
566	空腹	kōngfù	fasting	Learnt
567	恐惧	kǒngjù	fear	Incorrect
568	控制	kòngzhì	control	Learnt
569	口臭	kǒuchòu	bad breath	Incorrect
570	口腔	kǒuqiāng	mouth	Learnt
571	叩击	kòujī	tap	Incorrect
572	叩诊	kòuzhěn	percussion	
573	髋骨	kuāngǔ	hip bone	Incorrect
574	髋臼	kuānjiù	Acetabular	Learnt
575	狂犬病	kuángquǎnbìng	Rabies	Incorrect
576	扩散	kuòsàn	diffusion	Incorrect
577	扩张	kuòzhāng	expansion	Incorrect
578	阑尾	lánwěi	appendix	Learnt
579	劳累	láolèi	overworked	Learnt
580	老视	lǎoshì	Presbyopia	Incorrect
581	乐观	lèguān	optimism	Learnt
582	雷诺现象	léinuò xiànxiàng	Raynaud's phenomenon	Learnt
583	肋	lèi	rib	Incorrect
584	泪器	lèiqì	lacrimal apparatus	Learnt
585	类似	lèisì	similar	
586	类型	lèixíng	type	
587	离子通道	lízitōngdào	ion channel	
588	理疗	lǐliáo	physiotherapy	
589	利尿	lìniào	diuretic	Learnt
590	粒细胞	lìxìbāo	Granulocytes	Learnt
591	痢疾	lìji	dysentery	
592	连续	liánxù	continuous	Learnt
593	联合	liánhé	joint	
594	良好	liánghǎo	good	Incorrect
595	临产	línchǎn	in labor	Learnt
596	临床	línchuáng	clinical	Learnt
597	临终关怀	línzhōngguānhuái	hospice care	Incorrect
598	淋巴结	línbājié	lymph nodes	Incorrect
599	淋巴细胞	línbāxìbāo	Lymphocytes	Incorrect
600	淋病	lìnbìng	gonorrhea	Incorrect
601	流感	liúgǎn	influenza	Learnt
602	流行性	liúxíngxìng	popularity	Incorrect
603	流泪	liúlèi	tears	Learnt
604	流质	liúzhì	liquid	
605	聋哑	lóngyǎ	deaf mute	
606	露出液	lùchū yè	exposed liquid	Learnt
607	颅骨	lúgǔ	skull	Incorrect
608	颅内压	lúnèi yā	intracranial pressure	Incorrect
609	挛缩	luánsuō	Contracture	Learnt
610	卵巢	luǎncháo	ovaries	
611	卵泡	luǎnpào	follicle	
612	卵子	luǎnzi	egg	Learnt
