Chinese,Pinyin,English,Status
成熟,chéngshú,Mature,Learnt
承受,chéngshòu,Endure,
程度,chéngdù,degree,Incorrect
吃力,chīlì,strenuous,
迟缓,chíhuǎn,slow,
持续,chíxù,continued,
尺骨,chǐgǔ,ulna,Incorrect
耻骨联合,chǐgǔ liánhé,pubic symphysis,Learnt
冲服,chōngfú,blunt,Learnt
充分,chōngfèn,full,Learnt
虫蛀牙,chóng  zhùyá,Tooth Decay,Incorrect
宠物,chǒngwù,parasite,Incorrect
抽搐,chōuchù,twitch,Incorrect
臭,chòu,Smelly,Learnt
初步,chūbù,Preliminary,Learnt
初产妇,chūchǎnfù,Primipara,
初乳,chūrǔ,colostrum,Learnt
处方,chǔfāng,prescription,Learnt
处理,chǔlǐ,deal with,
处女膜,chǔnǚmó,hymen,
杵状指,chǔ zhuàngzhǐ,Clubbing,
触诊,chùzhěn,palpation,Learnt
穿刺术,chuāncìshù,puncture,Learnt
穿孔,chuānkǒng,perforation,Incorrect
传播,chuánbō,spread,Learnt
传导阻滞,chuándǎo zǔzhì,conduction block,
传染,chuánrǎn,infect,
喘气,chuǎnqì,pant,Learnt
喘息,chuǎnxī,gasp/pant,Learnt
创伤,chuāng shāng,trauma,Learnt
垂体,chuítǐ,pituitary,Incorrect
雌激素,cíjīsù,Estrogen,
刺桐,cìtóng,Erythrina,Incorrect
刺激,cìjī,Stimulate,Incorrect
粗糙,cūcāo,rough,Incorrect
卒中,zú zhōng,stroke,Learnt
促进,cùjìn,Promote,
猝死,cùsǐ,sudden death,Incorrect
催乳素,cuīrǔsù,prolactin,Learnt
挫裂伤,cuòlièshāng,contusion,Learnt
措施,cuòshī,measure,Incorrect
搭配,dāpèi,match,
达到,dádào,achieve,Learnt
打嗝,dǎgé,hiccup,
打喷嚏,dǎpēntì,sneeze,Incorrect
大便,dàbiàn,Feces,Incorrect
大肠杆菌,dàchánggǎnjūn,Escherichia coli,
代替,dàitì,replace,
丹毒,dāndú,erysipelas,
单纯,dānchún,simple,
单核细胞,dānhéxìbāo,monocytes,
单位,dānwèi,unit,Learnt
耽误,dānwu,hold up,Learnt
胆道蛔虫,dǎndào huíchóng,Biliary Ascaris,Learnt
胆固醇,dǎngùchún,cholesterol,
胆红素,dǎnhóngsù,Bilirubin,Learnt
胆囊,dǎnnáng,gallbladder,
胆石病,dǎnshíbìng,gallstone disease,Learnt
胆汁,dǎnzhī,bile,Incorrect
胆汁酸,dǎnzhīsuān,bile acid,Incorrect
胆总管,dǎnzǒngguǎn,common bile duct,
蛋白质,dànbáizhì,protein,Learnt
氮质血症,dànzhì xuèzhèng,Azotemia,
导尿术,dǎoniào shù,Catheterization,
导泻,dǎoxiè,catharsis,Learnt
导致,dǎozhì,lead to,
登记,dēngjì,to register,
等候,děnghòu,waiting,Incorrect
低钠血症,dīnàxuèzhèng,Hyponatremia,Learnt
低氧血症,dīyǎng xuèzhèng,Hypoxemia,Learnt
滴,dī,drop,
骶骨,dǐgǔ,sacrum,
蒂,dì,pedicle,Incorrect
癫痫,diānxián,epilepsy,Learnt
典型,diǎnxíng,typical,Learnt
碘剂,diǎnjì,iodine,Learnt
电除颤,diàn chúchàn,defibrillation,Learnt
电复律,diànfù lǜ,Cardioversion,Incorrect
点击,diǎnjī,click,Learnt
电解质,diànjiězhì,electrolyte,Learnt
淀粉酶,diànfěnméi,Amylase,Learnt
耵聍,dīngníng,Cerumen,Incorrect
顶叶,dǐngyè,parietal lobe,Incorrect
定期,dìngqī,regular,
动脉,dòngmài,artery,
动物模型,dòng wùmóxíng,animal model,Learnt
动眼神经,dòngyǎn shénjīng,oculomotor nerve,
动作电位,dòngzuò diànwèi,Action potential,Learnt
冻僵,dòngjiāng,frozen,Learnt
冻伤,dòngshāng,frostbite,Incorrect
窦房结,dòufángjié,sinus node,Incorrect
堵塞,dǔsè,block,
端坐呼吸,duānzuò hūxī,orthopnea,
断端,duàn duān,stump,Incorrect
堆积,duījī,accumulation,Learnt
对症治疗,duìzhèng zhìliáo,Symptomatic treatment,Learnt
多胞胎,duōbāotāi,multiple births,Incorrect
多发性,duōfāxìng,multiple,Learnt
鹅口疮,ékǒuchuāng,thrush,Learnt
额叶,éyè,frontal lobe,Incorrect
恶心,èxīn,nausea,Learnt
恶化,èhuà,deterioration,Incorrect
恶露,èlù,lochia,
儿茶酚胺,rcháfēnàn,Catecholamines,Incorrect
耳聋,ěrlóng,deaf,Learnt
耳鸣,ěrmíng,tinnitus,Incorrect
耳蜗,ěrwō,cochlea,Incorrect
发病机制,fābìng jīzhì,pathogenesis,Learnt
发抖,fādǒu,trembling,Learnt
发绀,fāgàn,Cyanosis,Incorrect
发热,fārè,fever,Learnt
发炎,fāyán,inflamed,Learnt
发育,fāyù,development,Incorrect
发作,fāzuò,attack,Learnt
发力,fālì,work hard,
烦躁不安,fánzàobùān,anxious,
繁殖,fánzhí,reproduce,
反常,fǎncháng,abnormal,
反而,fǎnér,instead,Learnt
反复,fǎnfù,repeatedly,Learnt
反射,fǎnshè,reflection,
反酸,fǎnsuān,acid reflux,Learnt
反跳痛,fǎntiàotòng,rebound pain,
反应,fǎnyìng,reaction,Incorrect
范围,fànwéi,range,Learnt
方案,fāngàn,plan,Learnt
门诊,ménzhěn,clinic,Incorrect
防御,fángyù,defense,Incorrect
防止,fángzhǐ,prevent,Incorrect
防治,fángzhì,prevention,Incorrect
房间隔,fángjiāngé,interatrial septum,Learnt
房室结,fángshì jié,atrioventricular node,Incorrect
放大,fàngdà,enlarge,Learnt
放射,fàngshè,radiation,
腓骨,féigǔ,fibula,
肺不张,fèibùzhāng,atelectasis,Learnt
肺大泡,fèidàpào,Bullae,Incorrect
肺动脉瓣,fèidòngmàibàn,pulmonary valve,Incorrect
肺活量,fèihuóliàng,vital capacity,Learnt
肺门,fèimén,hilum,
肺气肿,fèiqìzhǒng,Emphysema,
肺纹理,fèi wénlǐ,lung markings,Learnt
肺性脑病,fèixìng nǎobìng,pulmonary encephalopathy,Incorrect
费用,fèiyòng,cost,Learnt
分布,fēnbù,distributed,
分化,fēnhuà,differentiation,Incorrect
分裂,fēnliè,Split,Learnt
分泌,fēnmì,secretion,Learnt
分娩,fēnmiǎn,childbirth,
分析,fēnxī,analyze,Learnt
分型,fēnxíng,classification,
粉末,fěnmò,powder,Incorrect
风湿病,fēngshībìng,rheumatism,Learnt
风湿热,fēngshīrè,rheumatic fever,Incorrect
风险,fēngxiǎn,risk,Learnt
缝合术,fènghé shù,Suture,
敷,fū,apply,Learnt
浮肿,fúzhǒng,edema,Learnt
幅度,fúdù,amplitude,Learnt
辐射,fúshè,radiation,
辅助,fǔzhù,auxiliary,Incorrect
附件,fùjiàn,appendix,Incorrect
复查,fùchá,review,Learnt
复发,fùfā,relapse,Learnt
复位,fùwèi,reset,
复诊,fùzhěn,Follow-up visit,Incorrect
副神经,fùshénjīng,accessory nerve,Learnt
副作用,fùzuòyòng,side effect,Learnt
腹部,fùbù,abdomen,Learnt
腹肌紧张,fùjī jǐnzhāng,tight abdominal muscles,Learnt
腹腔,fùqiāng,abdominal cavity,
腹泻,fùxiè,diarrhea,Learnt
腹痛,fùtòng,stomach ache,Learnt
改善,gǎishàn,improve,Learnt
钙,gài,calcium,Learnt
甘油三酯,gānyóusānzhǐ,Triglycerides,
肝,gān,liver,Incorrect
肝病面容,gānbìng miànróng,liver disease face,
肝门静脉,gān ménjìngmài,hepatic portal vein,Incorrect
肝素,gānsù,heparin,
肝性脑病,gānxìng nǎobìng,hepatic encephalopathy,Incorrect
肝硬化,gānyìnghuà,liver cirrhosis,Learnt
肝掌,gānzhǎng,liver palm,
赶紧,gǎnjǐn,quickly,
感觉器官,gǎnjuéqìguān,sensory organs,Incorrect
感染,gǎnrǎn,Infect,
感染源,gǎnrǎn yuán,Source of infection,Learnt
干咳,gānké,dry cough,
干扰素,gānrǎosù,interferon,Incorrect
感眼,gǎnyǎn,eyesight,
干预,gānyù,intervene,
干燥,gānzào,dry,Learnt
干活儿,gànhuór,work,Learnt
肛管,gāngguǎn,anal canal,Learnt
肛裂,gāngliè,anal fissure,Incorrect
肛瘘,gānglòu,anal fistula,Incorrect
肛门,gāngmén,anus,Learnt
高钙血症,gāogài xuèzhèng,Hypercalcemia,
高钾血症,gāojiǎ xuèzhèng,hyperkalemia,Learnt
高原病,gāoyuán bìng,altitude sickness,Learnt
睾酮,Gāotóng,Testosterone,Incorrect
睾丸,Gāowán,Testis,
疙瘩,Gēda,Pimple,
